,hotel_name,hotel_url,city_name,score,description,location,hotel_latitude,hotel_longtitude
12,"The Originals Access, Hôtel Foix (P'tit Dej-Hotel)",https://www.booking.com/hotel/fr/campanilefoix.html,Ariege,7.9,"Set beside the Pyrenees Ariégeoises Regional Park, this. The Originals Access, Hôtel Foix has a 24-hour automatic-reception and you can visit Toulouse, 75 km away. A TV and telephone are included in the guest rooms, which feature a simple décor with wooden furnishings. The private bathrooms are fitted with a bathtub. Breakfast is served every morning. There is a restaurant on site with a terrace. Foix Train Station is a 6-minute drive from The Originals Access, Hôtel Foix and free public parking is available nearby. Andorra and the Spanish border are both 80 km away. ","Ancienne Rn 20 Lieu dit Le Couloumié - Départementale 919, 09000 Foix, France",42.99211190,1.61583245
13,Le Hameau du Comté de Foix,https://www.booking.com/hotel/fr/le-hameau-du-comte-de-foix.html,Ariege,8.7,"Situated in Mercus-Garrabet in the Midi-Pyrénées region and Col de la Crouzette reachable within 40 km, Le Hameau du Comté de Foix features accommodation with free WiFi, a children's playground, a garden and free private parking. The aparthotel provides guests with a terrace, mountain views, a seating area, a flat-screen TV, a fully equipped kitchen with a fridge and an oven, and a private bathroom with shower and a hairdryer. A dishwasher, a microwave and stovetop are also offered, as well as a coffee machine and a kettle. Guests at Le Hameau du Comté de Foix can enjoy table tennis on site, or go hiking or skiing in the surroundings. Foix Castle is 10 km from the accommodation, while Bedeilhac Cave is 11 km from the property. The nearest airport is Carcassonne Airport, 84 km from Le Hameau du Comté de Foix. ","8 rue de la Rivière, 09400 Mercus-Garrabet, France",42.89454800,1.63417900
14,Résidence Natura,https://www.booking.com/hotel/fr/ra-c-sidence-natura.html,Ariege,7.1,"Located in Ax-les-Thermes, Résidence Natura offers self-catering apartments with a flat-screen TV and seating area, as well as double rooms. The cable car to Bonnascre Ski Station is only 100 m away and the train station is 800 m from the property. All the apartments features a wardrobe, washing machine, tumble dryer and a bathroom. The kitchen includes a stove, microwave and refrigerator. The bedrooms have tea/coffee making facilities and are soundproofed. Grocery shops and restaurants can be found within 100 m of the property in the town centre. There are thermal baths in the town and the airport shuttle bus leaves just 100 m away. ","8 rue Constant Alibert, 09110 Ax-les-Thermes, France",42.71931396,1.83852285
15,Chambres d'hôtes Belle Occitane,https://www.booking.com/hotel/fr/belle-occitane.html,Ariege,9.2,"Belle Occitane is a character 18th-century house located in the medieval city of Tarascon sur Ariège. On the road to Andorra, an hour south of Toulouse. Certain rooms include a seating area where you can relax. Belle Occitane features free WiFi throughout the property. Pas de la Casa is 35 km from Belle Occitane, while Ax-les-Thermes is 24 km from the property. The nearest airport is Blagnac Airport, 89 km from Belle Occitane. ","11 avenue François Laguerre, 09400 Tarascon-sur-Ariège, France",42.84718520,1.60675853
16,Résidence des 3 Césars,https://www.booking.com/hotel/fr/ra-c-sidence-des-3-ca-c-sars.html,Ariege,8.2,"Located 12 km from Guzet ski resort, Résidence des 3 Césars sits in a well-kept garden and offers an indoor swimming pool, self-catering apartments, ski storage facilities and free Wi-Fi in public spaces and all apartments. The on-site spa and wellness centre at Résidence des 3 Césars features a hot tub and steam bath. There is also a large living room with a fireplace, TV, VCR and games, and a laundry room. The apartments and studio at Résidence des 3 Césars all include en suite facilities and a kitchenette. Some apartments have a balcony and feature easy access for people with reduced mobility. The private bathrooms are complete with a bathtub or a shower, and a hairdryer. The kitchenette includes a microwave and a refrigerator. A wardrobe and a TV are also provided. Résidence des 3 Césars is 32 km from Saint Girons Trains Station and there is a supermarket only 100 m from the property. Free private parking is possible on site. ","Allée des Thermes, 09140 Aulus-les-Bains, France",42.79060996,1.33446872
17,Hostellerie de La Poste,https://www.booking.com/hotel/fr/hostellerie-de-la-poste-oust.html,Ariege,8.1,"Situated within the Pyrenees Ariegeoises Natural Regional Park, Hostellerie de la Poste is situated in the village of Oust. The hotel features an outdoor swimming pool and free Wi-Fi access in public areas. A balcony with views of the garden or terrace area is provided in the guest rooms at Hostellerie de la Poste. All rooms have their own bathroom with a bath or shower. You can enjoy traditional French cuisine in the elegant on-site restaurant. A continental breakfast is prepared every morning, and there is also a bar and a large outdoor terrace. Thermal baths at Aulus-les-Bains are 15 km away. Séquoia Vertigo adventure park is 20 km from Hostellerie de la Poste. Foix Train Station is 34 km away. Public parking is possible on site. ","Grand Rue, 09140 Oust, France",42.87471200,1.21583998
18,MAISON FAMILIALE 3 ch. au CENTRE D'AX,https://www.booking.com/hotel/fr/maison-familiale-3-ch-au-centre-d-39-ax.html,Ariege,8.8,"Featuring a garden, a terrace, and a casino, MAISON FAMILIALE 3 ch. Au CENTRE D'AX offers accommodation in Ax-les-Thermes with free WiFi and mountain views. Boasting free private parking, the holiday home is in an area where guests can engage in activities such as hiking, fishing and cycling. The holiday home consists of 3 bedrooms, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 1 bathroom with a shower and a hairdryer. Towels and bed linen are offered in the holiday home. The holiday home features a barbecue. Meritxell sanctuary is 48 km from MAISON FAMILIALE 3 ch. Au CENTRE D'AX, while Talc Career of Trimouns is 24 km from the property. The nearest airport is Andorra–La Seu d'Urgell Airport, 80 km from the accommodation. ","16 rue de la solitude, 09110 Ax-les-Thermes, France",42.71957900,1.83585875
19,STUDIOS MAGUI,https://www.booking.com/hotel/fr/studios-magui.html,Ariege,7.3,"Situated in Ax-les-Thermes, 48 km from Meritxell sanctuary and 24 km from Talc Career of Trimouns, STUDIOS MAGUI features accommodation with free WiFi and a casino. Fitted with a terrace, the units feature a flat-screen TV and a private bathroom with shower and a hairdryer. A fridge, an oven and microwave are also available in the kitchen, as well as a coffee machine. The apartment offers a children's playground. A ski equipment rental service, a ski pass sales point and ski storage space are all offered at STUDIOS MAGUI, and guests can go skiing in the surroundings. Grotte de Lombrives is 25 km from the accommodation, while Fountain Fontestorbes is 45 km from the property. The nearest airport is Andorra–La Seu d'Urgell Airport, 80 km from STUDIOS MAGUI. ","16 Rue du Coustou, 09110 Ax-les-Thermes, France",42.71940787,1.83907012
20,Studio RIGA,https://www.booking.com/hotel/fr/studio-riga.html,Ariege,8.6,"Studio RIGA is an apartment in Ax-les-Thermes, 300 m from Ax-Bonascre Ski Lift. This apartment is 2.9 km from Ax-3 Domaines Ski Lift and a 2-minute walk from Ax Thermal Baths. Opening onto a terrace with mountain views, the apartment consists of 1 bedroom. The accommodation is equipped with a kitchen with a microwave and a toaster. The apartment offers a sun terrace. A a ski pass sales point is available on site and skiing can be enjoyed within close proximity of the property. Ax Bonsacre Le Saquet Ski School is 2.8 km from Studio RIGA. Carcassonne Airport is 100 km from the property. ","STUDIO RIGA 19 Avenue Docteur François Gomma, 09110 Ax-les-Thermes, France",42.71854540,1.84053040
21,Auberge des Deux Rivières,https://www.booking.com/hotel/fr/auberge-des-deux-rivia-res-seix.html,Ariege,8.2,"Auberge Des Deux Rivières is a inn located in the heart of the French Pyrenees department the Ariège at the confluent of the Alet and Salat rivers. Auberge des Deux Rivières bedrooms are fully equipped and come with a private bathroom offering free toiletries. In the restaurant, the owners, Robert and Philip prepare traditional, regional cuisine. In July and August, the property serves exclusively Paella on Mondays and Couscous on Tuesdays. Half board dinner features highlights from the à la carte menu selected by the chef. The little mountain hotel is a convenient starting point for your mountain walking, cycling, or fishing stay. ","Pont De La Taule, 09140 Seix, France",42.83202716,1.19836539
22,Hameau de Montcabirol - Foix,https://www.booking.com/hotel/fr/hameau-de-montcabirol-mirepoix1.html,Ariege,8.7,"Located in Mirepoix, 19 km from Buffalo Farm, 30 km from Fountain Fontestorbes and 32 km from Montsegur Castle, Hameau de Montcabirol - Foix provides accommodation with a patio and free WiFi. Featuring free private parking, the holiday home is in an area where guests can engage in activities such as hiking, skiing and table tennis. The holiday home with a terrace and garden views features 3 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a fridge and an oven, and 2 bathrooms with a shower. Towels and bed linen are provided in the holiday home. Guests can swim in the outdoor swimming pool, go cycling, or relax in the garden and use the barbecue facilities. Museum of Montségur is 33 km from the holiday home, while Foix Castle is 35 km away. The nearest airport is Carcassonne Airport, 47 km from Hameau de Montcabirol - Foix. ","Hameau de  Montcabirol, 09500 Mirepoix, France",43.05377100,1.84890300
23,Le Clos St Louis,https://www.booking.com/hotel/fr/le-clos-st-louis-ax-les-thermes.html,Ariege,8.9,"Featuring free WiFi, Le Clos St Louis offers in the heart of the historic village of Ax-les-Thermes. Ax-Bonascre Ski Lift is 200 m away, and various stores are located within walking distance from the property. All units have a seating and dining area, as well as a kitchen equipped with a dishwasher, an oven, a microwave, a coffee machine, a kettle and kitchen cloths. Each bedroom has a private bathroom with bathrobes and towels. Upon prior request, pets are allowed at the property, which is 200 m from the Casino. Ax Thermal Baths is 200 m from the property. Andorra is a 30-minute drive away. The largest airport nearby is Toulouse Blagnac Airport, 130 km from Le Clos St Louis, while Carcassonne Salvaza Airport,is 120 km away. ","2 rue Marcaillou, 09110 Ax-les-Thermes, France",42.72079212,1.83754871
24,Grange ancienne aménagée,https://www.booking.com/hotel/fr/ancienne-grange-amenagee.html,Ariege,9.2,"Grange ancienne aménagée is located in Rabat-les-Trois-Seigneurs, 36 km from Col de la Crouzette, 6.9 km from Bedeilhac Cave, as well as 11 km from Grotte de Lombrives. This holiday home is 27 km from Underground River of Labouiche and 37 km from Ariege Golf Club. Providing a terrace with mountain views, this holiday home also offers a flat-screen TV, a well-equipped kitchen with a fridge, an oven and a dishwasher, as well as 1 bathroom with a bath and a hairdryer. There is a garden with a barbecue at this property and guests can go skiing and cycling nearby. Niaux Cave is 13 km from the holiday home, while Foix Castle is 21 km away. The nearest airport is Carcassonne Airport, 95 km from Grange ancienne aménagée. ","La Freyte, 09400 Rabat-les-Trois-Seigneurs, France",42.85134405,1.52816445
25,Domaine de Garabaud,https://www.booking.com/hotel/fr/domaine-de-garabaud.html,Ariege,8.2,"In a green environment, come and discover a beautiful place. Located in Mazeres, a 40-minute drive from Toulouse, the Domaine de Garabaud offers an ideal place for all your events. The hotel proposes 24 rooms (50 beds), all equipped with a shower, toilets and a free access to WiFi. The on-site restaurant is only open for lunch. Meal trays can be prepared upon prior reservation. In an 8 acres park, the domain also welcomes you in its restaurant and meeting rooms. You could have access to the swimming pool and the tennis court too so that you can have a relaxing moment. ","913 Garabaud, 09270 Mazères, France",43.25701228,1.66643500
26,Le Clos Fleuri,https://www.booking.com/hotel/fr/le-clos-fleuri-rimont.html,Ariege,9.6,"Le Clos Fleuri is a renovated 19th-century holiday home located in Hameau de Sucre in Caumont, 11 km from Saint-Girons. The house has a private entrance and a garden with a furnished terrace. The property offers free parking. On the ground floor you will find a living room and a fully equipped kitchen with a dishwasher and a fireplace. There is also a double bedroom and a bathroom with a shower and a separate toilet on the ground floor. Two additional bedrooms can be found upstairs. Bed linen and towels are included. An array of activities can be enjoyed on site or in the surroundings, including cycling and hiking. Saint-Lizier Gallo-Roman and episcopal  city can be visited just 10 km away and Mas d'Azil Prehistoric Caves can be explored 35 km from the property. Supermarkets and a number of shops and restaurants can be found within 6 km of the property. Salies-du-Salat thermal baths centre, casino and golf course are located 13 km away. ","Hameau de Sucre, 09160 Caumont, France",43.03449560,1.05723960
27,Apartment Natik,https://www.booking.com/hotel/fr/apartment-natik.html,Ariege,8.8,"Offering mountain views, Apartment Natik is an accommodation set in Ax-les-Thermes, 48 km from Meritxell sanctuary and 24 km from Talc Career of Trimouns. The apartment, set in a building dating from 1900, is 25 km from Grotte de Lombrives and 46 km from Fountain Fontestorbes. Offering a balcony with city views, this apartment also has a flat-screen TV, a well-equipped kitchenette with a fridge, a dishwasher and a microwave, as well as 1 bathroom with a shower and free toiletries. Ski storage space is available on site and both skiing and cycling can be enjoyed within close proximity of the apartment. The nearest airport is Andorra–La Seu d'Urgell Airport, 80 km from Apartment Natik. ","6 Rue Pilhes, 09110 Ax-les-Thermes, France",42.71962529,1.83817893
28,L'Or de Fabiol,https://www.booking.com/hotel/fr/l-39-or-de-fabiol.html,Ariege,9.5,"Set in Orlu, just 29 km from Talc Career of Trimouns, L'Or de Fabiol provides accommodation with free WiFi. Boasting free private parking, the holiday home is in an area where guests can engage in activities such as hiking, skiing and table tennis. Featuring mountain and river views, this holiday home offers 2 bedrooms and opens to a balcony. Offering a terrace with city views, this holiday home also features a flat-screen TV, a well-equipped kitchen with a fridge, an oven and a dishwasher, as well as 1 bathroom with a shower and a hairdryer. A barbecue is available on site and cycling can be enjoyed within close proximity of the holiday home. The nearest airport is Andorra–La Seu d'Urgell Airport, 84 km from L'Or de Fabiol. ","4 Quartier Sous l'Eglise, 09110 Orlu, France",42.70210077,1.88646895
29,LES CHÂLETS DE MONTORGUEIL,https://www.booking.com/hotel/fr/les-chalets-de-montorgueil-saurat.html,Ariege,8.7,"Set in Saurat in the Midi-Pyrénées region, LES CHÂLETS DE MONTORGUEIL offers accommodation with free private parking. The camping provides guests with a terrace, mountain views, a seating area, a flat-screen TV, a fully equipped kitchenette with a fridge and an oven, and a private bathroom with shower and free toiletries. There is also a microwave, stovetop and a coffee machine. Guests at LES CHÂLETS DE MONTORGUEIL can enjoy table tennis on site, or hiking in the surroundings. Col de la Crouzette is 17 km from the accommodation, while Bedeilhac Cave is 14 km away. The nearest airport is Carcassonne Airport, 106 km from LES CHÂLETS DE MONTORGUEIL. ","LIEU-DIT CAMPAGNOLE ROUTE DU COL DE PORT, 09400 Saurat, France",42.89935000,1.45349200
30,STUDIO COEUR DE VIEILLE VILLE,https://www.booking.com/hotel/fr/studio-coeur-de-vieille-ville.html,Ariege,7.9,"Offering a casino and city view, STUDIO COEUR DE VIEILLE VILLE is situated in Ax-les-Thermes, 48 km from Meritxell sanctuary and 24 km from Talc Career of Trimouns. The property has mountain views and is 25 km from Grotte de Lombrives and 46 km from Fountain Fontestorbes. The apartment features 1 bedroom, a kitchen with a fridge and an oven, and 1 bathroom with a shower and bath. For added convenience, the property can provide towels and bed linen for an extra charge. Hiking and skiing can be enjoyed nearby, while a ski equipment rental service, a ski pass sales point and ski-to-door access are also available on site. The nearest airport is Andorra–La Seu d'Urgell Airport, 80 km from the apartment. ","1 Rue Joseph Rigal, 09110 Ax-les-Thermes, France",42.72007752,1.83826795
31,Le Joseph - Beautiful apartment in the heart of Annecy city centre,https://www.booking.com/hotel/fr/joseph-blanc-bel-appartement-en-plein-coeur-du-centre-ville-d-annecy.html,Annecy,9.2,"Offering free WiFi, Le Joseph - Beautiful apartment in the heart of Annecy city centre is situated in the centre of Annecy within 37 km of Rochexpo and 38 km from Bourget Lake. This apartment is 43 km from Stade de Genève and 46 km from Jet d'Eau. The apartment features 1 bedroom, 1 bathroom, bed linen, towels, a TV, a dining area, a fully equipped kitchen, and a balcony with city views. Gare de Cornavin is 46 km from the apartment, while St. Pierre Cathedral is 46 km from the property. The nearest airport is Chambéry-Savoie Airport, 43 km from Le Joseph - Beautiful apartment in the heart of Annecy city centre. ","2 rue joseph blanc, 74000 Annecy, France",45.90004540,6.12713940
32,Les Ilots - Joseph Blanc apartment 2 rooms on the lake wifi & balcony,https://www.booking.com/hotel/fr/les-ilots-joseph-blanc-apt-2-ch-au-bord-du-lac-wifi-climatisation.html,Annecy,9.1,"Right in the heart of Annecy, situated around 37 km from Rochexpo, Les Ilots - Joseph Blanc apartment 2 rooms on the lake wifi & balcony offers free WiFi, air conditioning, and household amenities such as Coffee machine and a dishwasher. Located 38 km from Bourget Lake, the property features a casino. The apartment features 2 bedrooms, a kitchen with fridge and oven, and 2 bathrooms with a shower, free toiletries and a washing machine. Towels and bed linen are available in the apartment. Stade de Genève is 43 km from the apartment, while Jet d'Eau is 46 km from the property. The nearest airport is Chambéry-Savoie Airport, 43 km from Les Ilots - Joseph Blanc apartment 2 rooms on the lake wifi & balcony. ","3 Rue Joseph Blanc, 74000 Annecy, France",45.90007460,6.12763790
33,Majord'Home - Le Ness - Face au Pont des Amours,https://www.booking.com/hotel/fr/majord-home-le-ness-face-au-pont-des-amours-annecy.html,Annecy,8.5,"Attractively set in the centre of Annecy, Majord'Home - Le Ness - Face au Pont des Amours offers a balcony. It is situated 37 km from Rochexpo and provides a concierge service. With free WiFi, this 2-bedroom apartment features a flat-screen TV and a kitchen with a fridge and oven. Towels and bed linen are available in the apartment. Guests at the apartment can enjoy a continental breakfast. With staff speaking English and French, round-the-clock advice is available at the reception. Bourget Lake is 38 km from Majord'Home - Le Ness - Face au Pont des Amours, while Stade de Genève is 43 km from the property. The nearest airport is Chambéry-Savoie Airport, 43 km from the accommodation. ","1 Rue Joseph Blanc, 74000 Annecy, France",45.90000270,6.12775630
34,The Red Heart of Annecy - Magnifique appartement pour 4 personnes,https://www.booking.com/hotel/fr/perfect-location-with-canal-view-in-old-annecy-annecy.html,Annecy,8.5,"Offering free WiFi, The Red Heart of Annecy - Magnifique appartement pour 4 personnes is located in the centre of Annecy within 37 km of Rochexpo and 38 km from Bourget Lake. This apartment is 46 km from Gare de Cornavin and 46 km from St. Pierre Cathedral. The apartment is equipped with 2 bedrooms, 1 bathroom, bed linen, towels, a TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with city views. Stade de Genève is 43 km from the apartment, while Jet d'Eau is 46 km away. The nearest airport is Chambéry-Savoie Airport, 43 km from The Red Heart of Annecy - Magnifique appartement pour 4 personnes. ","1 Rue Joseph Blanc, 74000 Annecy, France",45.90000270,6.12775630
35,La Tour du Lac - Bel appartement en plein coeur d'Annecy,https://www.booking.com/hotel/fr/la-tour-du-lac-bel-appartement-en-plein-coeur-d-annecy.html,Annecy,8.7,"Set in the centre of Annecy, 37 km from Rochexpo and 38 km from Bourget Lake, La Tour du Lac - Bel appartement en plein coeur d'Annecy offers free WiFi. This apartment is 43 km from Stade de Genève and 46 km from Jet d'Eau. The apartment is fitted with 2 bedrooms, 2 bathrooms, bed linen, towels, a TV, a dining area, a fully equipped kitchen, and a balcony with city views. Gare de Cornavin is 46 km from the apartment, while St. Pierre Cathedral is 46 km from the property. The nearest airport is Chambéry-Savoie Airport, 43 km from La Tour du Lac - Bel appartement en plein coeur d'Annecy. ","3 rue Filaterie, 74000 Annecy, France",45.89982810,6.12641800
36,Very nice flat with terrace in the heart of Annecy Old Town - Welkeys,https://www.booking.com/hotel/fr/very-nice-flat-with-terrace-in-the-heart-of-annecy-old-town-welkeys.html,Annecy,7.8,"Located in the centre of Annecy, 37 km from Rochexpo and 38 km from Bourget Lake, Very nice flat with terrace in the heart of Annecy Old Town - Welkeys offers free WiFi. This apartment is 46 km from Gare de Cornavin and 46 km from St. Pierre Cathedral. The apartment with a terrace and lake views features 1 bedroom, a living room, a TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment. Stade de Genève is 43 km from the apartment, while Jet d'Eau is 46 km away. The nearest airport is Chambéry-Savoie Airport, 43 km from Very nice flat with terrace in the heart of Annecy Old Town - Welkeys. ","5 rue du Lac, 74000 Annecy, France",45.90025930,6.12699430
